Day of Collection Date,Count of Hospital Name,total_patients_hospitalize
2-Dec-21,99,514
1-Dec-21,132,619
30-Nov-21,135,616
29-Nov-21,139,531
28-Nov-21,140,518
27-Nov-21,142,542
26-Nov-21,143,520
25-Nov-21,143,508
24-Nov-21,150,539
23-Nov-21,146,509
22-Nov-21,145,509
21-Nov-21,145,535
20-Nov-21,145,496
19-Nov-21,145,496
18-Nov-21,145,489
17-Nov-21,151,469
16-Nov-21,145,482
15-Nov-21,145,444
14-Nov-21,144,435
13-Nov-21,144,439
12-Nov-21,145,446
11-Nov-21,144,448
10-Nov-21,151,440
9-Nov-21,145,432
8-Nov-21,144,425
7-Nov-21,144,405
6-Nov-21,145,412
5-Nov-21,145,427
4-Nov-21,145,422
3-Nov-21,150,422
2-Nov-21,145,444
1-Nov-21,145,448
31-Oct-21,145,442
30-Oct-21,145,443
29-Oct-21,145,444
28-Oct-21,145,481
27-Oct-21,149,484
26-Oct-21,145,491
25-Oct-21,145,482
24-Oct-21,145,444
23-Oct-21,145,430
22-Oct-21,145,441
21-Oct-21,144,434
20-Oct-21,151,461
19-Oct-21,142,490
18-Oct-21,145,476
17-Oct-21,142,464
16-Oct-21,144,473
15-Oct-21,145,498
14-Oct-21,145,497
13-Oct-21,151,506
12-Oct-21,144,515
11-Oct-21,145,521
10-Oct-21,145,519
9-Oct-21,145,512
8-Oct-21,145,522
7-Oct-21,145,522
6-Oct-21,150,551
5-Oct-21,145,585
4-Oct-21,145,565
3-Oct-21,145,551
2-Oct-21,145,570
1-Oct-21,145,589
30-Sep-21,142,603
29-Sep-21,151,612
28-Sep-21,145,620
27-Sep-21,145,630
26-Sep-21,145,619
25-Sep-21,145,611
24-Sep-21,145,634
23-Sep-21,145,666
22-Sep-21,151,688
21-Sep-21,145,663
20-Sep-21,145,660
19-Sep-21,145,641
18-Sep-21,145,669
17-Sep-21,145,670
16-Sep-21,145,694
15-Sep-21,151,702
14-Sep-21,142,720
13-Sep-21,145,708
12-Sep-21,145,702
11-Sep-21,145,705
10-Sep-21,145,741
9-Sep-21,145,744
8-Sep-21,151,732
7-Sep-21,145,780
6-Sep-21,145,734
5-Sep-21,145,760
4-Sep-21,145,753
3-Sep-21,145,772
2-Sep-21,145,769
1-Sep-21,151,784
31-Aug-21,145,780
30-Aug-21,145,778
29-Aug-21,145,778
28-Aug-21,145,761
27-Aug-21,145,770
26-Aug-21,145,779
25-Aug-21,148,795
24-Aug-21,145,789
23-Aug-21,145,755
22-Aug-21,145,757
21-Aug-21,145,754
20-Aug-21,145,780
19-Aug-21,145,765
18-Aug-21,151,779
17-Aug-21,145,737
16-Aug-21,145,706
15-Aug-21,145,650
14-Aug-21,145,643
13-Aug-21,145,667
12-Aug-21,145,668
11-Aug-21,151,646
10-Aug-21,145,673
9-Aug-21,145,638
8-Aug-21,145,600
7-Aug-21,145,602
6-Aug-21,145,540
5-Aug-21,146,540
