State_Name,State_code,Year-Week,Variant,Variant_Count,Positive_Cases,Hospitalization,Death
Washington,WA,2021-44,Delta,743,8622,584.0,76
Washington,WA,2021-43,Delta,663,8669,565.0,91
Washington,WA,2021-42,Delta,1102,10874,711.0,140
Washington,WA,2021-42,Other,1,10874,711.0,140
Washington,WA,2021-41,Delta,1096,12303,789.0,177
Washington,WA,2021-40,Delta,1107,11746,737.0,141
Washington,WA,2021-39,Delta,992,12240,766.0,160
Washington,WA,2021-39,Other,1,12240,766.0,160
Washington,WA,2021-38,Delta,1334,15052,846.0,199
Washington,WA,2021-38,Mu,2,15052,846.0,199
Washington,WA,2021-37,Delta,1089,16437,934.0,202
Washington,WA,2021-36,Delta,959,17103,1071.0,231
Washington,WA,2021-36,Mu,2,17103,1071.0,231
Washington,WA,2021-35,Alpha,2,19365,1263.0,295
Washington,WA,2021-35,Delta,2278,19365,1263.0,295
Washington,WA,2021-35,Mu,10,19365,1263.0,295
Washington,WA,2021-34,Delta,1692,19870,1300.0,301
Washington,WA,2021-34,Mu,1,19870,1300.0,301
Washington,WA,2021-34,Other,3,19870,1300.0,301
Washington,WA,2021-33,Alpha,2,19258,1347.0,301
Washington,WA,2021-33,Delta,1944,19258,1347.0,301
Washington,WA,2021-33,Gamma,8,19258,1347.0,301
Washington,WA,2021-32,Alpha,9,17709,1147.0,243
Washington,WA,2021-32,Delta,2937,17709,1147.0,243
Washington,WA,2021-32,Gamma,15,17709,1147.0,243
Washington,WA,2021-32,Iota,1,17709,1147.0,243
Washington,WA,2021-32,Mu,8,17709,1147.0,243
Washington,WA,2021-32,Other,3,17709,1147.0,243
Washington,WA,2021-31,Alpha,7,16470,995.0,213
Washington,WA,2021-31,Delta,2272,16470,995.0,213
Washington,WA,2021-31,Gamma,6,16470,995.0,213
Washington,WA,2021-31,Iota,1,16470,995.0,213
Washington,WA,2021-31,Mu,4,16470,995.0,213
Washington,WA,2021-31,Other,7,16470,995.0,213
Washington,WA,2021-30,Alpha,9,13477,746.0,188
Washington,WA,2021-30,Delta,1853,13477,746.0,188
Washington,WA,2021-30,Gamma,4,13477,746.0,188
Washington,WA,2021-30,Iota,1,13477,746.0,188
Washington,WA,2021-30,Mu,12,13477,746.0,188
Washington,WA,2021-30,Other,5,13477,746.0,188
Washington,WA,2021-29,Alpha,24,9006,530.0,95
Washington,WA,2021-29,Delta,2105,9006,530.0,95
Washington,WA,2021-29,Gamma,18,9006,530.0,95
Washington,WA,2021-29,Iota,5,9006,530.0,95
Washington,WA,2021-29,Mu,35,9006,530.0,95
Washington,WA,2021-29,Other,10,9006,530.0,95
Washington,WA,2021-28,Alpha,33,5466,261.0,53
Washington,WA,2021-28,Delta,1388,5466,261.0,53
Washington,WA,2021-28,Gamma,25,5466,261.0,53
Washington,WA,2021-28,Iota,10,5466,261.0,53
Washington,WA,2021-28,Mu,24,5466,261.0,53
Washington,WA,2021-28,Other,12,5466,261.0,53
Washington,WA,2021-27,Alpha,51,3510,271.0,51
Washington,WA,2021-27,Delta,895,3510,271.0,51
Washington,WA,2021-27,Gamma,37,3510,271.0,51
Washington,WA,2021-27,Iota,8,3510,271.0,51
Washington,WA,2021-27,Mu,16,3510,271.0,51
Washington,WA,2021-27,Other,22,3510,271.0,51
Washington,WA,2021-26,Alpha,66,2646,206.0,41
Washington,WA,2021-26,Delta,583,2646,206.0,41
Washington,WA,2021-26,Gamma,34,2646,206.0,41
Washington,WA,2021-26,Iota,18,2646,206.0,41
Washington,WA,2021-26,Mu,6,2646,206.0,41
Washington,WA,2021-26,Other,28,2646,206.0,41
Washington,WA,2021-25,Alpha,92,1822,184.0,34
Washington,WA,2021-25,Beta,4,1822,184.0,34
Washington,WA,2021-25,Delta,312,1822,184.0,34
Washington,WA,2021-25,Gamma,35,1822,184.0,34
Washington,WA,2021-25,Iota,12,1822,184.0,34
Washington,WA,2021-25,Mu,1,1822,184.0,34
Washington,WA,2021-25,Other,21,1822,184.0,34
Washington,WA,2021-24,Alpha,190,1901,202.0,32
Washington,WA,2021-24,Delta,297,1901,202.0,32
Washington,WA,2021-24,Epsilon,5,1901,202.0,32
Washington,WA,2021-24,Gamma,63,1901,202.0,32
Washington,WA,2021-24,Iota,21,1901,202.0,32
Washington,WA,2021-24,Mu,9,1901,202.0,32
Washington,WA,2021-24,Other,18,1901,202.0,32
Washington,WA,2021-23,Alpha,238,1737,162.0,33
Washington,WA,2021-23,Delta,158,1737,162.0,33
Washington,WA,2021-23,Epsilon,5,1737,162.0,33
Washington,WA,2021-23,Gamma,76,1737,162.0,33
Washington,WA,2021-23,Iota,30,1737,162.0,33
Washington,WA,2021-23,Kappa,1,1737,162.0,33
Washington,WA,2021-23,Mu,1,1737,162.0,33
Washington,WA,2021-23,Other,32,1737,162.0,33
Washington,WA,2021-22,Alpha,302,2110,215.0,38
Washington,WA,2021-22,Beta,2,2110,215.0,38
Washington,WA,2021-22,Delta,153,2110,215.0,38
Washington,WA,2021-22,Epsilon,12,2110,215.0,38
Washington,WA,2021-22,Eta,1,2110,215.0,38
Washington,WA,2021-22,Gamma,89,2110,215.0,38
Washington,WA,2021-22,Iota,38,2110,215.0,38
Washington,WA,2021-22,Mu,6,2110,215.0,38
Washington,WA,2021-22,Other,37,2110,215.0,38
Washington,WA,2021-21,Alpha,309,2825,302.0,41
Washington,WA,2021-21,Beta,2,2825,302.0,41
Washington,WA,2021-21,Delta,107,2825,302.0,41
Washington,WA,2021-21,Epsilon,16,2825,302.0,41
Washington,WA,2021-21,Gamma,151,2825,302.0,41
Washington,WA,2021-21,Iota,46,2825,302.0,41
Washington,WA,2021-21,Mu,4,2825,302.0,41
Washington,WA,2021-21,Other,39,2825,302.0,41
Washington,WA,2021-20,Alpha,441,3259,295.0,37
Washington,WA,2021-20,Beta,7,3259,295.0,37
Washington,WA,2021-20,Delta,104,3259,295.0,37
Washington,WA,2021-20,Epsilon,30,3259,295.0,37
Washington,WA,2021-20,Gamma,234,3259,295.0,37
Washington,WA,2021-20,Iota,30,3259,295.0,37
Washington,WA,2021-20,Mu,3,3259,295.0,37
Washington,WA,2021-20,Other,47,3259,295.0,37
Washington,WA,2021-19,Alpha,578,4458,413.0,69
Washington,WA,2021-19,Beta,22,4458,413.0,69
Washington,WA,2021-19,Delta,85,4458,413.0,69
Washington,WA,2021-19,Epsilon,43,4458,413.0,69
Washington,WA,2021-19,Gamma,170,4458,413.0,69
Washington,WA,2021-19,Iota,51,4458,413.0,69
Washington,WA,2021-19,Mu,7,4458,413.0,69
Washington,WA,2021-19,Other,59,4458,413.0,69
Washington,WA,2021-18,Alpha,908,5316,416.0,55
Washington,WA,2021-18,Beta,19,5316,416.0,55
Washington,WA,2021-18,Delta,37,5316,416.0,55
Washington,WA,2021-18,Epsilon,128,5316,416.0,55
Washington,WA,2021-18,Eta,4,5316,416.0,55
Washington,WA,2021-18,Gamma,207,5316,416.0,55
Washington,WA,2021-18,Iota,57,5316,416.0,55
Washington,WA,2021-18,Mu,2,5316,416.0,55
Washington,WA,2021-18,Other,70,5316,416.0,55
Washington,WA,2021-17,Alpha,1179,6833,477.0,57
Washington,WA,2021-17,Beta,27,6833,477.0,57
Washington,WA,2021-17,Delta,34,6833,477.0,57
Washington,WA,2021-17,Epsilon,157,6833,477.0,57
Washington,WA,2021-17,Eta,2,6833,477.0,57
Washington,WA,2021-17,Gamma,176,6833,477.0,57
Washington,WA,2021-17,Iota,60,6833,477.0,57
Washington,WA,2021-17,Kappa,4,6833,477.0,57
Washington,WA,2021-17,Mu,6,6833,477.0,57
Washington,WA,2021-17,Other,123,6833,477.0,57
Washington,WA,2021-16,Alpha,1267,8106,506.0,66
Washington,WA,2021-16,Beta,54,8106,506.0,66
Washington,WA,2021-16,Delta,27,8106,506.0,66
Washington,WA,2021-16,Epsilon,215,8106,506.0,66
Washington,WA,2021-16,Eta,3,8106,506.0,66
Washington,WA,2021-16,Gamma,233,8106,506.0,66
Washington,WA,2021-16,Iota,97,8106,506.0,66
Washington,WA,2021-16,Kappa,9,8106,506.0,66
